Id,Shape,Weight,Clarity,Colour,Cut,Polish,Syetry,Fluorescence,Length,Width,Depth,Price,Data Url
57237321,RADIANT,0.3,4,17,5,5,5,0,4.31,4.33,2.62,512.46,https://capitalwholesalediamonds.com/product/0-3-ct-radiant/
442072111,RADIANT,0.4,5,17,5,5,5,0,4.74,4.76,2.93,642.33,https://capitalwholesalediamonds.com/product/0-4-ct-radiant/
57237322,RADIANT,0.42,7,16,5,5,5,0,4.84,4.86,2.95,735.35,https://capitalwholesalediamonds.com/product/0-42-ct-radiant-2/
440014538,RADIANT,0.42,7,17,5,5,5,0,4.76,4.78,2.99,749.39,https://capitalwholesalediamonds.com/product/0-42-ct-radiant/
442072113,RADIANT,0.43,7,17,5,5,5,0,4.92,4.93,3,758.16,https://capitalwholesalediamonds.com/product/0-43-ct-radiant/
436056245,RADIANT,0.5,5,16,5,5,5,0,5.07,5.11,3.13,856.44,https://capitalwholesalediamonds.com/product/0-5-ct-radiant/
445044984,RADIANT,0.56,6,15,5,5,5,0,5.19,5.22,3.28,"1,005.62",https://capitalwholesalediamonds.com/product/0-56-ct-radiant/
442029672,RADIANT,0.52,6,17,5,5,5,0,5.12,5.14,3.16,"1,024.92",https://capitalwholesalediamonds.com/product/0-52-ct-radiant/
442072105,RADIANT,0.52,7,17,5,5,5,0,5.14,5.16,3.19,"1,089.86",https://capitalwholesalediamonds.com/product/0-52-ct-radiant-2/
436075098,RADIANT,0.59,6,17,5,5,5,0,5.36,5.39,3.29,"1,114.43",https://capitalwholesalediamonds.com/product/0-59-ct-radiant/
436053285,RADIANT,0.71,4,17,5,5,5,0,5.66,5.69,3.53,"1,181.12",https://capitalwholesalediamonds.com/product/0-71-ct-radiant-2/
442029666,RADIANT,0.65,6,17,5,5,5,0,5.57,5.62,3.35,"1,193.40",https://capitalwholesalediamonds.com/product/0-65-ct-radiant/
442072107,RADIANT,0.6,7,17,5,5,5,0,5.46,5.49,3.29,"1,203.93",https://capitalwholesalediamonds.com/product/0-6-ct-radiant/
444075121,RADIANT,0.6,7,17,5,5,5,0,5.34,5.36,3.36,"1,203.93",https://capitalwholesalediamonds.com/product/0-6-ct-radiant-2/
442072112,RADIANT,0.66,6,17,5,5,5,0,5.6,5.65,3.42,"1,205.69",https://capitalwholesalediamonds.com/product/0-66-ct-radiant/
57237323,RADIANT,0.66,6,17,5,5,5,0,5.58,5.62,3.43,"1,205.69",https://capitalwholesalediamonds.com/product/0-66-ct-radiant-2/
57237324,RADIANT,0.66,6,17,5,5,5,0,5.52,5.55,3.46,"1,205.69",https://capitalwholesalediamonds.com/product/0-66-ct-radiant-3/
432026878,RADIANT,0.61,7,17,5,5,5,0,5.31,5.36,3.39,"1,217.97",https://capitalwholesalediamonds.com/product/0-61-ct-radiant/
436056247,RADIANT,0.7,5,15,5,5,5,0,5.71,5.76,3.42,"1,235.52",https://capitalwholesalediamonds.com/product/0-7-ct-radiant-5/
432026875,RADIANT,0.8,4,17,5,5,5,0,6.03,6.06,3.55,"1,286.42",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-2/
432026877,RADIANT,0.8,4,17,5,5,5,0,5.88,5.9,3.67,"1,286.42",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-3/
57237325,RADIANT,0.76,5,16,5,5,5,0,5.89,5.91,3.54,"1,360.13",https://capitalwholesalediamonds.com/product/0-76-ct-radiant-2/
445027355,RADIANT,0.73,5,16,5,5,5,0,5.68,4.47,3.11,"1,365.39",https://capitalwholesalediamonds.com/product/0-73-ct-radiant-3/
444074131,RADIANT,0.81,5,17,5,5,5,0,5.86,5.91,3.72,"1,477.71",https://capitalwholesalediamonds.com/product/0-81-ct-radiant-2/
432009474,RADIANT,0.7,6,17,4,5,5,0,5.51,5.56,3.58,"1,523.34",https://capitalwholesalediamonds.com/product/0-7-ct-radiant/
432009475,RADIANT,0.7,6,17,4,5,4,0,5.73,5.78,3.37,"1,523.34",https://capitalwholesalediamonds.com/product/0-7-ct-radiant-2/
432026855,RADIANT,0.9,4,16,5,5,5,0,6.28,6.31,3.66,"1,535.63",https://capitalwholesalediamonds.com/product/0-9-ct-radiant/
432026898,RADIANT,0.9,4,16,5,5,5,0,6.08,6.1,3.84,"1,535.63",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-4/
444074129,RADIANT,0.87,5,17,5,5,5,0,6.03,6.07,3.81,"1,560.20",https://capitalwholesalediamonds.com/product/0-87-ct-radiant/
436073074,RADIANT,0.92,4,16,5,5,5,0,6.15,6.17,3.87,"1,561.95",https://capitalwholesalediamonds.com/product/0-92-ct-radiant/
436073079,RADIANT,1.07,3,16,5,5,5,0,6.54,6.59,4.03,"1,561.95",https://capitalwholesalediamonds.com/product/1-07-ct-radiant-2/
57237336,RADIANT,0.93,4,16,5,5,5,0,6.2,6.23,3.83,"1,575.99",https://capitalwholesalediamonds.com/product/0-93-ct-radiant-2/
440020272,RADIANT,0.94,4,16,5,5,5,0,6.15,6.2,3.92,"1,588.28",https://capitalwholesalediamonds.com/product/0-94-ct-radiant/
 LG200401,RADIANT,0.71,6,17,4,4,4,0,6.06,4.38,2.89,"1,593.93",https://capitalwholesalediamonds.com/product/0-71-ct-radiant/
 LG200355,RADIANT,0.7,7,16,4,5,5,0,5.78,4.35,3.08,"1,602.23",https://capitalwholesalediamonds.com/product/0-70-ct-radiant/
 LG200402,RADIANT,0.73,6,16,4,4,4,0,6.08,4.41,2.89,"1,606.53",https://capitalwholesalediamonds.com/product/0-73-ct-radiant/
432026899,RADIANT,0.9,4,17,5,5,5,0,6.14,6.17,3.71,"1,607.58",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-5/
444074126,RADIANT,0.9,4,17,5,5,5,0,6.05,6.1,3.86,"1,607.58",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-7/
57237330,RADIANT,0.9,4,17,4,5,5,0,5.95,6,3.91,"1,607.58",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-13/
436053278,RADIANT,0.7,7,17,5,5,5,0,5.68,5.69,3.53,"1,611.09",https://capitalwholesalediamonds.com/product/0-7-ct-radiant-3/
436053287,RADIANT,0.7,7,17,5,5,5,0,5.58,5.6,3.56,"1,611.09",https://capitalwholesalediamonds.com/product/0-7-ct-radiant-4/
200655-21,RADIANT,1.02,4,7,5,5,5,0,6.31,5.07,3.47,"1,618.04",https://capitalwholesalediamonds.com/product/1-02-ct-radiant-10/
432026857,RADIANT,0.91,4,17,5,5,5,0,6.15,6.2,3.83,"1,619.87",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-5/
 LG200400,RADIANT,0.72,7,16,5,5,5,0,5.63,4.49,3.07,"1,624.71",https://capitalwholesalediamonds.com/product/0-72-ct-radiant/
200684-437,RADIANT,1.01,4,8,5,5,4,0,6.16,5.03,3.45,"1,640.54",https://capitalwholesalediamonds.com/product/1-01-ct-radiant-10/
442072099,RADIANT,0.76,7,16,5,5,5,0,5.77,5.79,3.64,"1,647.95",https://capitalwholesalediamonds.com/product/0-76-ct-radiant/
444074125,RADIANT,0.93,4,17,5,5,5,0,6.22,6.24,3.83,"1,647.95",https://capitalwholesalediamonds.com/product/0-93-ct-radiant/
57237337,RADIANT,0.94,4,17,5,5,5,0,6.28,6.3,3.77,"1,661.99",https://capitalwholesalediamonds.com/product/0-94-ct-radiant-2/
440020273,RADIANT,0.73,8,16,5,5,5,0,5.65,5.7,3.59,"1,665.50",https://capitalwholesalediamonds.com/product/0-73-ct-radiant-2/
432026874,RADIANT,0.8,6,17,4,5,5,0,5.78,5.82,3.71,"1,690.07",https://capitalwholesalediamonds.com/product/0-8-ct-radiant/
432027175,RADIANT,0.8,6,17,4,5,5,0,5.8,5.82,3.78,"1,690.07",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-4/
445044983,RADIANT,0.8,6,17,5,5,5,0,5.94,5.99,3.62,"1,690.07",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-5/
440020269,RADIANT,0.9,5,16,5,5,5,0,6.24,6.26,3.7,"1,702.35",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-6/
57237328,RADIANT,0.9,5,16,4,5,5,0,6.08,6.1,3.79,"1,702.35",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-11/
57237329,RADIANT,0.9,5,16,4,5,4,0,6.13,6.16,3.73,"1,702.35",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-12/
 LG200399,RADIANT,0.7,8,17,4,4,4,0,6.04,4.36,2.82,"1,721.39",https://capitalwholesalediamonds.com/product/0-70-ct-radiant-2/
436053281,RADIANT,0.82,6,17,5,5,5,0,6.05,6.08,3.7,"1,723.41",https://capitalwholesalediamonds.com/product/0-82-ct-radiant/
200772-239,RADIANT,1,4,4,3,5,4,0,6.36,4.79,3.34,"1,742.30",https://capitalwholesalediamonds.com/product/1-ct-radiant/
201235-123,RADIANT,1,6,8,4,5,5,3,6.33,4.49,3.42,"1,770.90",https://capitalwholesalediamonds.com/product/1-ct-radiant-20/
445044982,RADIANT,0.9,5,17,4,5,4,0,6.03,6.1,3.84,"1,797.12",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-8/
57237326,RADIANT,0.9,5,17,4,5,5,0,6.3,6.32,3.63,"1,797.12",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-9/
57237327,RADIANT,0.9,5,17,4,5,4,0,6.02,6.06,3.91,"1,797.12",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-10/
 LG200398,RADIANT,0.81,7,16,4,4,4,0,5.86,4.73,3.13,"1,798.85",https://capitalwholesalediamonds.com/product/0-81-ct-radiant/
432026856,RADIANT,0.91,5,17,5,5,5,0,6.08,6.14,3.86,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-4/
432026870,RADIANT,0.91,5,17,5,5,5,0,6.17,6.2,3.8,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-6/
440020271,RADIANT,0.91,5,17,5,5,5,0,6.08,6.13,3.86,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-7/
444074127,RADIANT,0.91,5,17,5,5,5,0,6.26,6.27,3.69,"1,812.92",https://capitalwholesalediamonds.com/product/0-91-ct-radiant-8/
389987637,RADIANT,1.85,5,18,5,5,5,0,7.79,7.86,4.85,"1,897.02",https://capitalwholesalediamonds.com/product/1-85-ct-radiant/
57237339,RADIANT,1.33,3,17,5,5,5,0,6.96,7.01,4.34,"1,926.99",https://capitalwholesalediamonds.com/product/1-33-ct-radiant-3/
210028-384,RADIANT,1.02,6,7,4,5,4,2,6.45,4.92,3.43,"1,974.15",https://capitalwholesalediamonds.com/product/1-02-ct-radiant-9/
436073080,RADIANT,1,4,16,5,5,5,0,6.42,6.46,3.9,"1,983.15",https://capitalwholesalediamonds.com/product/1-ct-radiant-41/
432026895,RADIANT,0.9,6,17,4,5,5,0,6.05,6.11,3.83,"2,009.48",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-3/
57237334,RADIANT,0.9,6,17,4,5,4,0,6.19,6.23,3.74,"2,009.48",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-17/
436073099,RADIANT,1.02,4,16,5,5,5,0,6.33,6.37,4.01,"2,016.50",https://capitalwholesalediamonds.com/product/1-02-ct-radiant-17/
414063762,RADIANT,1.03,4,16,5,5,5,0,6.57,6.58,3.85,"2,032.29",https://capitalwholesalediamonds.com/product/1-03-ct-radiant-7/
436071570,RADIANT,1.03,4,16,5,5,5,0,6.54,6.55,3.89,"2,032.29",https://capitalwholesalediamonds.com/product/1-03-ct-radiant-12/
57237331,RADIANT,0.9,7,16,5,5,5,0,6,6.07,3.85,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-14/
57237332,RADIANT,0.9,7,16,4,5,4,0,6.19,6.22,3.68,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-15/
57237333,RADIANT,0.9,7,16,4,5,5,0,6.05,6.08,3.85,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-16/
210041-460,RADIANT,1,5,7,4,5,4,0,6.31,4.9,3.4,"2,061.50",https://capitalwholesalediamonds.com/product/1-ct-radiant-25/
436054128,RADIANT,1,4,17,5,5,5,0,6.36,6.4,4.02,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-36/
436071571,RADIANT,1,4,17,5,5,5,0,6.5,6.53,3.79,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-38/
440008419,RADIANT,1,4,17,5,5,5,0,6.28,6.35,3.98,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-44/
436073100,RADIANT,1.05,4,16,5,5,5,0,6.44,6.49,4.05,"2,065.64",https://capitalwholesalediamonds.com/product/1-05-ct-radiant-4/
440020214,RADIANT,1.01,4,17,5,5,5,0,6.44,6.46,3.96,"2,079.68",https://capitalwholesalediamonds.com/product/1-01-ct-radiant-44/
